Year,Month,day_of_week,hour_of_day,origin,destination,estimated_ridership
2025,1,Monday,16,1,4,5.8465
2025,1,Monday,16,4,10,5.2838
2025,1,Monday,16,5,1,1.4675
2025,1,Monday,16,10,5,3.4218
2025,1,Monday,16,0,8,14.0905
2025,1,Monday,16,10,1,2.5995
2025,1,Monday,16,0,6,1.134
2025,1,Monday,16,0,7,5.1447
2025,1,Monday,16,4,8,16.6502
2025,1,Monday,16,3,8,13.0875
2025,1,Monday,16,0,3,22.0057
2025,1,Monday,16,10,7,1.7202
2025,1,Monday,16,9,1,1.1418
2025,1,Monday,16,10,6,1.3957
2025,1,Monday,16,7,11,11.784
2025,1,Monday,16,8,3,7.7855
2025,1,Monday,16,5,3,7.8997
2025,1,Monday,16,4,2,10.374
2025,1,Monday,16,11,8,21.8188
2025,1,Monday,16,11,6,7.3655
2025,1,Monday,16,2,6,1.7147
2025,1,Monday,16,8,10,2.4717
2025,1,Monday,16,1,3,5.846
2025,1,Monday,16,2,8,8.314
2025,1,Monday,16,2,5,6.3162
2025,1,Monday,16,2,4,13.2355
2025,1,Monday,16,1,2,7.4073
2025,1,Monday,16,2,9,2.5595
2025,1,Monday,16,0,2,17.1005
2025,1,Monday,16,3,6,2.6748
2025,1,Monday,16,7,8,1.8758
2025,1,Monday,16,3,11,7.5907
2025,1,Monday,16,6,0,6.2042
2025,1,Monday,16,4,11,7.248
2025,1,Monday,16,11,7,20.9927
2025,1,Monday,16,8,0,6.232
2025,1,Monday,16,8,2,8.2712
2025,1,Monday,16,10,11,4.0115
2025,1,Monday,16,8,5,3.2257
2025,1,Monday,16,11,5,8.2805
2025,1,Monday,16,6,3,1.759
2025,1,Monday,16,10,3,7.7485
2025,1,Monday,16,9,7,3.1945
2025,1,Monday,16,1,6,2.139
2025,1,Monday,16,3,2,2.3807
2025,1,Monday,16,3,9,3.4987
2025,1,Monday,16,2,3,2.2943
2025,1,Monday,16,3,7,7.7983
2025,1,Monday,16,7,0,2.04
2025,1,Monday,16,1,8,9.168
2025,1,Monday,16,11,3,18.3247
2025,1,Monday,16,9,11,4.8843
2025,1,Monday,16,7,1,1.541
2025,1,Monday,16,3,10,7.072
2025,1,Monday,16,3,1,6.4697
2025,1,Monday,16,1,5,6.4542
2025,1,Monday,16,7,10,0.951
2025,1,Monday,16,6,10,2.35
2025,1,Monday,16,2,10,5.1445
2025,1,Monday,16,9,4,9.259
2025,1,Monday,16,9,2,2.8652
2025,1,Monday,16,8,11,11.5335
2025,1,Monday,16,7,9,2.553
2025,1,Monday,16,1,11,3.0755
2025,1,Monday,16,10,9,0.285
2025,1,Monday,16,11,9,9.3685
2025,1,Monday,16,11,10,5.5787
2025,1,Monday,16,6,8,5.3175
2025,1,Monday,16,10,2,6.04
2025,1,Monday,16,1,0,0.6325
2025,1,Monday,16,11,0,9.3947
2025,1,Monday,16,10,0,2.0212
